pdf_filename,nanomaterial_types,nanomaterial_names,primary_nanomaterial,primary_nano_type,particle_size_nm,particle_size_range,zeta_potential_mV,pzc_value,tumor_types,primary_tumor_type,injection_methods,primary_injection_method,injection_dose_mg_kg,injection_frequency,ultrasound_frequency_MHz,ultrasound_power_W_cm2,treatment_time_min,treatment_sessions,ros_generation,cell_viability_percent,cell_death_percent,tumor_volume_mm3,has_size_data,has_zeta_data,has_ultrasound_data,has_ros_data,has_viability_data,has_volume_data,data_completeness_score
Two-Dimensional MXene-Originated In Situ Nanosonosensitizer Generation for Augmented and Synergistic Sonodynamic Tumor Nanotherapy.pdf,nanocrystal,CuO,CuO,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,2.2222222222222223,,10.666666666666666,,2.0,,,,no,no,yes,yes,no,no,2
Bright Aggregation-Induced Emission Nanoparticles for Two-Photon Imaging and Localized Compound Therapy of Cancers.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,3.0,,,11.266666666666667,,,,,,no,no,yes,no,no,no,1
A multimodal imaging nanobubble enhancing sonodynamic therapy by cell membrane disruption for effective anti-melanoma.pdf,nanocrystal,,,nanocrystal,,,,,melanoma,melanoma,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,2.0,,7.666666666666667,2.0,42.6,,,,,,no,no,yes,no,no,no,1
Ultrasound-activated nanovesicles for adenosine exhaustion and immune checkpoint blockade in cancer immunotherapy.pdf,nanocrystal,AuS,AuS,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,7.0,2.0,1.0,2.0,7.783783783783784,1.0,,,,,no,no,yes,no,no,no,1
Catalase enzyme-modified carbon quantum dot nanoparticles with hypoxia alleviation associated with indocyanine green for synchronous augmented photodynamic therapy and cell imaging of melanoma..pdf,"nanoparticle, nanocrystal",AuS,AuS,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,11.153846153846153,,,,,,no,no,yes,no,no,no,1
Smart Nanoassembly Enabling Activatable NIR Fluorescence and ROS Generation with Enhanced Tumor Penetration for Imaging-Guided Photodynamic Therapy.pdf,"nanoparticle, nanocrystal","CuS, AuS",CuS,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,13.333333333333334,,,,,,no,no,yes,no,no,no,1
Bimetallic Cu@Ru Core−Shell Structures with Ligand Effects for Endo−Exogenous Stimulation-Mediated Dynamic Oncotherapy.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,100.0,,,,,,no,no,yes,no,no,no,1
Diradicaloid-Loaded Polypeptide Nanoparticles for Two-photon NIR Phototheranostics.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,2.75,,665784749.5555556,,20.045454545454547,,,,,,no,no,yes,no,no,no,1
Imaging-guided companion diagnostics in radiotherapy by monitoring APE1 activity with afterglow and MRI imaging.pdf,nanocrystal,,,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,60.0,,27.424242424242426,1.0,,,,,no,no,yes,no,no,no,1
Development of an ultrasound triggered nanomedicine-microbubble complex for chemo-photodynamic-gene therapy.pdf,"nanoparticle, nanocrystal",AuS,AuS,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,3.55,,1.0,,16.166666666666668,,,3.75,96.25,,no,no,yes,no,yes,no,2
Ultrasound-Responsive Lipid Nanosonosensitizers with SizeReduction and NO Release: SynergisticSonodynamic-Chemo-Immunotherapy for Pancreatic Tumors.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,pancreatic_cancer,pancreatic_cancer,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,1.0,0.9,4.809523809523809,,,,,,no,no,yes,no,no,no,1
An AND Logic Gate for Magnetic-Resonance-Imaging-Guided Ferroptosis Therapy of Tumors.pdf,"nanoparticle, nanocrystal","Fe3O4, Fe2O3, AuS",Fe3O4,nanoparticle,,,,,cervical_cancer,cervical_cancer,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,20.0,3.0,,,,,no,no,yes,no,no,no,1
NIR-II Imaging-Guided Mitochondrial-Targeting Organic Nanoparticles for Multimodal Synergistic Tumor Therapy.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,12.608695652173912,,,,,,no,no,yes,no,no,no,1
Electron acceptor motif-manipulated NIR-II AIE photosensitizers synergically induce tumor pyroptosis through multimodal image-guided pure type I photodynamic and photothermal therapy.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,2.0,,,10.6,,,,,,no,no,yes,no,no,no,1
Living Microalgae-Based Magnetic Microrobots for CalciumOverload and Photodynamic Synergetic Cancer Therapy.pdf,"nanoparticle, nanocrystal","Fe3O4, CuS",Fe3O4,nanoparticle,,,,,cervical_cancer,cervical_cancer,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,2.142857142857143,,19.333333333333332,,,,,,no,no,yes,no,no,no,1
"Plasmon-enhanced fluorescent gold coated novel lipo-polymeric hybrid  nanosystem: Synthesis, characterization and application for imaging and  photothermal therapy of breast cancer.pdf","nanoparticle, nanocrystal",,,nanoparticle,,,,,breast_cancer,breast_cancer,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,14.73913043478261,,,,,,no,no,yes,no,no,no,1
Intelligent Hollow Pt-CuS Janus Architecture for Synergistic Catalysis-Enhanced Sonodynamic and Photothermal Cancer Therapy.pdf,"nanoparticle, nanocrystal",CuS,CuS,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,2.0,1.0,,5.8,,,,,,no,no,yes,no,no,no,1
Molecularly manipulating pyrazinoquinoxaline derivatives to construct  NIR-II AIEgens for multimodal phototheranostics of breast cancer bone metastases.pdf,"nanoparticle, nanocrystal",AuS,AuS,nanoparticle,800.0,800.0,,,breast_cancer,breast_cancer,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,9.555555555555555,,,,,,yes,no,yes,no,no,no,2
muhammad-et-al-2025-piezodynamic-therapy-unleashing-mechanical-energy-and-featuristic-next-generation-therapeutic.pdf,nanocrystal,CuS,CuS,nanocrystal,,,,,glioma,glioma,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intracerebral, intradermal",intravenous,18.375,3.0,0.9708571428571428,1.3571428571428572,22.0,,46080462.0,,,,no,no,yes,yes,no,no,2
Multi-dimensional donor engineering of NIR-II AIEgens for multimodal  phototheranostics of orthotopic breast cancer.pdf,"nanoparticle, nanocrystal",,,nanoparticle,1500.0,1500.0,,,breast_cancer,breast_cancer,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,12.142857142857142,,,,,,yes,no,yes,no,no,no,2
Dual-Responsive and ROS-Augmented Nanoplatform for Chemo Photodynamic Chemodynamic Combination Therapy of Triple Negative Breast Cancer.pdf,,,,,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,2.0,,,1.1333333333333333,6.5,,,,,,no,no,yes,no,no,no,1
Nanoparticles destabilizing the cell membranes triggered by NIR light for cancer imaging and photo-immunotherapy.pdf,"nanoparticle, nanocrystal",AuS,AuS,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,300.0,,11.857142857142858,,,,,,no,no,yes,no,no,no,1
Platelet Membrane-Coated Drug-Loaded Nanoparticles for Dual Modal Imaging and Photodynamic Therapy in Triple-Negative Breast Cancer.pdf,"nanoparticle, nanocrystal",PtS,PtS,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,2.0,,1.0,12.454545454545455,,,,,,no,no,yes,no,no,no,1
Sono-Controllable and ROS-Sensitive CRISPR-Cas9 Genome Editing for Augmented Synergistic Ultrasound Tumor Nanotherapy.pdf,"nanoparticle, nanocrystal","CuO, AuS, RuS",CuO,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,1.0,,5.0,1.0,,,,,no,no,yes,no,no,no,1
Hydrothermal Galvanic-ReplacementTethered Synthesis of Ir−Ag−IrO2 Nanoplates for Computed Tomography-Guided Multiwavelength Potent Thermodynamic Cancer Therapy.pdf,"nanoparticle, nanosheet, nanocrystal",AuS,AuS,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,2.0,,3.0,16.833333333333332,,,,,,no,no,yes,no,no,no,1
Diradicaloid-Loaded Polypeptide Nanoparticles for Two-Photon NIR Phototheranostics.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,2.75,,665784749.5555556,,20.045454545454547,,,,,,no,no,yes,no,no,no,1
Glucosylated Hybrid TiO 2 Polymer Nanomaterials forActively Targeted Sonodynamic Therapy of Cancer.pdf,"nanoparticle, nanocrystal","TiO2, AlN",TiO2,nanoparticle,,,,,sarcoma,sarcoma,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,1.0,,13.897435897435898,,,,,,no,no,yes,no,no,no,1
"Ultrasound-Responsive Nanobubbles for Breast Cancer: Synergistic Sonodynamic, Chemotherapy, and Immune Activation through the cGAS-STING Pathway.pdf",nanocrystal,"AuS, PtS",AuS,nanocrystal,,,,,breast_cancer,breast_cancer,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,5.0,2.0,1.0,1.5,8.0,,,,,,no,no,yes,no,no,no,1
Novel Oxygen-Deficient Zirconia (ZrO2−x) for Fluorescence Photoacoustic Imaging-Guided Photothermal Photodynamic Therapy for Cancer.pdf,"nanoparticle, nanocrystal",ZrO2,ZrO2,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,2.0,,,205697066.0,,,,,,no,no,yes,no,no,no,1
The Midas Touch by Iridium: A Second Near-Infrared Aggregation Induced Emission-Active Metallo-Agent for Exceptional Phototheranostics of Breast Cancer.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,breast_cancer,breast_cancer,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,3.0,,,7.0,,,,,,no,no,yes,no,no,no,1
Enhancing Photodynamic Therapy Efficacy via Photo-Triggered Calcium Overload and Oxygen Delivery in Tumor Hypoxia Management.pdf,"nanosphere, nanocrystal",,,nanosphere,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,5.0,2.0,,0.75,12.5,10.0,,,,,no,no,yes,no,no,no,1
An Oxidation-Enhanced Magnetic Resonance ImagingProbe for Visual and Speciﬁc Detection of Singlet OxygenGenerated in Photodynamic Cancer Therapy In Vivo.pdf,"nanoparticle, nanocrystal",Fe3O4,Fe3O4,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,6.2272727272727275,,,,,,no,no,yes,no,no,no,1
Ultrathin Clay Nanoparticles-Mediated Mutual Reinforcement of Ferroptosis and Cancer Immunotherapy.pdf,"nanosheet, nanocrystal",AlN,AlN,nanosheet,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,,,,,,,no,no,no,no,no,no,0
One-for-all phototheranostics: Single component AIE dots as multi-modality theranostic agent for fluorescence-photoacoustic imaging-guided synergistic cancer therapy.pdf,nanocrystal,,,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,3.0,,0.3,7.944444444444445,,4.0,,,,no,no,yes,yes,no,no,2
Oxi-Redox Selective Breast Cancer Treatment: An In Vitro Study of Theranostic In-Based Oxide Nanoparticles for Controlled Generation or Prevention of Oxidative Stress.pdf,nanoparticle,,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,25.0,2.0,,,,,no,no,yes,no,no,no,1
Versatile metal-phenolic network nanoparticles for multitargeted combination therapy and magnetic resonance tracing in glioblastoma.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,glioma,glioma,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intracerebral, intradermal",intravenous,2.776,5.0,,0.5,19.285714285714285,,,,,,no,no,yes,no,no,no,1
Genetically Engineering Cell Membrane-Coated BTO Nanoparticles for MMP2-Activated Piezocatalysis-Immunotherapy.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,1.0,,16.818181818181817,2.0,,,,,no,no,yes,no,no,no,1
Biodegradable Multifunctional Nanotheranostic Based on Ag2S‑Doped Hollow BSA-SiO2 for Enhancing ROS-Feedback Synergistic Antitumor Therapy.pdf,"nanoparticle, nanocrystal","SiO2, Ag2S",SiO2,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,2.0,,,12.444444444444445,,,,,,no,no,yes,no,no,no,1
"Highly selective in-vivo imaging of tumor as an inflammation site by ROS detection using hydrocyanine-conjugated, functional nano-carriers.pdf",,,,,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,5.0,,,,20.2,,,,,,no,no,yes,no,no,no,1
Sub 5 nm Gd3+–Hemoporfin Framework Nanodots for Augmented Sonodynamic Theranostics and Fast Renal Clearance.pdf,"nanoparticle, nanocrystal",RuS,RuS,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,1.0,,7.0,,,,,,no,no,yes,no,no,no,1
Iron-based nanoparticles for MR imaging-guide ferroptosis in combination with photodynamic therapy to enhance cancer treatment.pdf,"nanoparticle, nanocrystal",AuS,AuS,nanoparticle,,,,,breast_cancer,breast_cancer,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,3.0,,,14.894736842105264,,,,,,no,no,yes,no,no,no,1
Low-intensity focused ultrasound-augmented Cascade chemodynamic therapy via boosting ROS generation.pdf,nanocrystal,"Fe3O4, Fe2O3, CuS",Fe3O4,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,53.165,,15.0,1.025,11.3,,,,,,no,no,yes,no,no,no,1
Hetero-Core–Shell BiNS–Fe@Fe as a Potential Theranostic Nanoplatform for Multimodal Imaging-Guided Simultaneous Photothermal–Photodynamic and Chemodynamic Treatment.pdf,,,,,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,2.0,,,33.0,2.0,,,,,no,no,yes,no,no,no,1
"Ultrasound-activated nanovesicles for adenosine exhaustion and immune 
checkpoint blockade in cancer immunotherapy.pdf",nanocrystal,AuS,AuS,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,7.0,2.0,1.0,2.0,7.783783783783784,1.0,,,,,no,no,yes,no,no,no,1
Palladium-Catalyzed Hydrogenation of Black Barium Titanate for Multienzyme-Piezoelectric Synergetic Tumor Therapy.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,1.0,,3.0,,,,,,no,no,yes,no,no,no,1
Targeted GSH-exhausting and Hydroxyl Radicals Self-producing Manganese Silica Nanomissiles for MRI Guided Ferroptotic Cancer Therapy.pdf,"nanoparticle, nanocrystal","SiO2, AuS",SiO2,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,7.166666666666667,676.0,,,18.3125,392.5,525.0,,,,no,no,yes,yes,no,no,2
Integration of Fe3O4 with Bi2S3 for Multi-Modality Tumor Theranostics.pdf,"nanoparticle, nanocrystal",Fe3O4,Fe3O4,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,0.8666666666666667,9.61111111111111,,,,,,no,no,yes,no,no,no,1
Cavitation-Inducible Mesoporous Silica–TitaniaNanoparticles for Cancer Sonotheranostics.pdf,"nanoparticle, nanocrystal","TiO2, SiO2, CuS, AuS",TiO2,nanoparticle,,,,,cervical_cancer,cervical_cancer,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,12.0,,,,,,no,no,yes,no,no,no,1
Ultrasound-Enhanced Reactive Oxygen Species Responsive Charge-Reversal Polymeric Nanocarriers for Efficient Pancreatic Cancer Gene Delivery.pdf,nanocrystal,AuS,AuS,nanocrystal,,,,,pancreatic_cancer,pancreatic_cancer,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,3.0,3.0,1.5,0.2,11.142857142857142,,,,,,no,no,yes,no,no,no,1
Photosynthetic Oxygenation-Augmented SonodynamicNanotherapy of Hypoxic Tumors.pdf,nanocrystal,"CuS, RuS",CuS,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,1.0,,16.075,,,,,,no,no,yes,no,no,no,1
An Oxidative Stress Nano-Ampliﬁer for Improved TumorElimination and Combined Immunotherapy.pdf,"nanoparticle, nanocrystal","CuS, AuS, AlN",CuS,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,2.0,,,15.777777777777779,196.66666666666666,,,,,no,no,yes,no,no,no,1
A Coupling Induced Assembly Strategy for Constructing Artificial Shell on Mitochondria.pdf,"nanoparticle, nanocrystal",AuS,AuS,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,4.0,,1.0,,5.0,2.0,,,,,no,no,yes,no,no,no,1
"A Protein−Polymer Bioconjugate-Coated Upconversion Nanosystem for Simultaneous Tumor Cell Imaging, Photodynamic Therapy, and Chemotherapy.pdf","nanoparticle, nanocrystal",,,nanoparticle,,,,,cervical_cancer,cervical_cancer,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,11.125,,,,,,no,no,yes,no,no,no,1
Honeycomb-Satellite Structured pH H2O2‑Responsive Degradable Nanoplatform for Efficient Photodynamic Therapy and Multimodal Imaging.pdf,"nanoparticle, nanosphere, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,2.0,,0.5,25.294117647058822,,,,,,no,no,yes,no,no,no,1
Low-intensity focused ultrasound-augmented Cascade chemodynamic  therapy via boosting ROS generation .pdf,nanocrystal,"Fe3O4, Fe2O3, CuS",Fe3O4,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,53.165,,15.0,1.025,11.3,,,,,,no,no,yes,no,no,no,1
Cancer-specific chemotherapeutic strategy based on the vitamin K3 mediated ROS regenerative feedback and visualized drug release in vivo.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,82.0,400.0,,11.714285714285714,,,,,,no,no,yes,no,no,no,1
Reactive Oxygen Correlated Chemiluminescent Imaging of a Semiconducting Polymer Nanoplatform for Monitoring Chemodynamic Therapy.pdf,nanocrystal,,,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,20.0,,,,,,no,no,yes,no,no,no,1
ROS-Triggered Self-Assembled Nanoparticles Based on a Chemo Sonodynamic Combinational Therapy Strategy for the Noninvasive Elimination of Hypoxic Tumors.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,33.63636363636363,,11.105263157894736,,,,,,no,no,yes,no,no,no,1
Doping Engineering To Modulate Surface Plasmon Resonance and Enzyme-like Activities for Enhancing Photoacoustic Imaging-Guided Targeted Cancer Therapy in the Second Near-Infrared Window.pdf,"nanoparticle, nanocrystal",WO3,WO3,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,2.0,,0.7999999999999999,23.6,,,,,,no,no,yes,no,no,no,1
"Multifunctional low-temperature photothermal nanodrug with in vivo clearance, ROS-Scavenging and anti-inflammatory abilities.pdf","nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,0.8,2.0,,,40.74074074074074,,,,,,no,no,yes,no,no,no,1
Effective glioblastoma immune sonodynamic treatment mediated by  macrophage cell membrane cloaked biomimetic nanomedicines .pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,glioma,glioma,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,75.0,,2.111111111111111,1.0,8.722222222222221,,,,,,no,no,yes,no,no,no,1
Fluorescence-Switchable Iron-Doped Nanodot Assembly asa Robust Redox Dyshomeostasis Ampliﬁer for NoninvasiveTreatment of Deep-Seated Tumors.pdf,nanocrystal,"CdS, AuS",CdS,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,26.428571428571427,,,,,,no,no,yes,no,no,no,1
Targeted Intracellular Copper Reservoir Enhances Liver Cancer Immunotherapy..pdf,"nanoparticle, nanocrystal","AuS, PtS",AuS,nanoparticle,,,,,"liver_cancer, cervical_cancer",liver_cancer,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,3.0,1.0,,12.027027027027026,,,,,,no,no,yes,no,no,no,1
Switchable ROS Scavenger Generator for MRI-Guided Anti-Inflammation and Anti-Tumor Therapy with Enhanced Therapeutic Efficacy and Reduced Side Effects.pdf,nanocrystal,AuS,AuS,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,13.585714285714285,,,,,,no,no,yes,no,no,no,1
Ultrasound-Sensitive Targeted Liposomes as a GeneDelivery System for the Synergistic Treatment of Hepatocellular Carcinoma.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,liver_cancer,liver_cancer,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,1.0,,12.24,,,,,,no,no,yes,no,no,no,1
Neutron Activated 153Sm Sealed in Carbon Nanocapsules for in Vivo Imaging and Tumor Radiotherapy.pdf,nanocrystal,,,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,150.0,,,,27.5,,,,,,no,no,yes,no,no,no,1
MoO3-x nanosheets-based platform for single NIR laser induced efficient PDT-PTT of cancer.pdf,"nanoparticle, nanosheet, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,2.0,,,95.55555555555556,,,,,,no,no,yes,no,no,no,1
Extended π-Conjugative Carbon Nitride for Single 1064 nm Laser-Activated Photodynamic Photothermal Synergistic Therapy and Photoacoustic Imaging.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,2.0,,,14.9375,,,,,,no,no,yes,no,no,no,1
Strength in Numbers: A Giant NIR-II AIEgen with One-for-AllPhototheranostic Features for Exceptional Orthotopic BladderCancer Treatment.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,10.0,,49.0,,,,no,no,yes,yes,no,no,2
Ultrasmall Iron-Doped Titanium Oxide Nanodots for Enhanced Sonodynamic and Chemodynamic Cancer Therapy.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,28.488888888888887,,,3.0,15.0,,,,,,no,no,yes,no,no,no,1
ROS-augmented and tumor-microenvironment responsive biodegradable nanoplatform for enhancing chemo-sonodynamic therapy.pdf,nanocrystal,,,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,12.954545454545455,,,,,,no,no,yes,no,no,no,1
Stimuli-responsive nanotheranostic systems conjugated with AIEgens for advanced cancer bio-imaging and treatment.pdf,,,,,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,,,,,,,no,no,no,no,no,no,0
An Ecient Magnetic Nanocatalyst Induced Chemo- and Ferroptosis Synergistic Cancer Therapy in Combination with T1-T2 Dual-Mode Magnetic Resonance Imaging through Doxorubicin Delivery.pdf,nanocrystal,"Fe3O4, Fe2O3, AuS",Fe3O4,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,6.0,,,,,,38.0,,,,no,no,no,yes,no,no,1
X‑ray-Sensitive Selenium Nanoparticles Enhance Esophageal Squamous Cell Carcinoma Radiotherapy through Activating P53 IGFBP3 Pathway by Regulating GPX2.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,esophageal_cancer,esophageal_cancer,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,35.0,,,,,,no,no,yes,no,no,no,1
