pdf_filename,nanomaterial_types,nanomaterial_names,primary_nanomaterial,primary_nano_type,particle_size_nm,particle_size_range,zeta_potential_mV,pzc_value,tumor_types,primary_tumor_type,injection_methods,primary_injection_method,injection_dose_mg_kg,injection_frequency,ultrasound_frequency_MHz,ultrasound_power_W_cm2,treatment_time_min,treatment_sessions,ros_generation,cell_viability_percent,cell_death_percent,tumor_volume_mm3,has_size_data,has_zeta_data,has_ultrasound_data,has_ros_data,has_viability_data,has_volume_data,data_completeness_score
Versatile Nanodrugs Containing Glutathione and HemeOxygenase 1 Inhibitors Enable Suppression of AntioxidantDefense System in a Two-Pronged Manner for EnhancedPhotodynamic Therapy.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,8.933333333333334,,,,,,no,no,yes,no,no,no,1
Tumor-Targeting Near-Infrared Dimeric HeptamethineCyanine Photosensitizers with an Aromatic Diphenol Linkerfor Imaging-Guided Cancer Phototherapy.pdf,nanocrystal,,,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,2.0,600.0,,10.904761904761905,,,,,,no,no,yes,no,no,no,1
Piezodynamic Therapy: Unleashing Mechanical Energy and Featuristic Next Generation Therapeutic Paradigms for Glioblastoma.pdf,nanocrystal,CuS,CuS,nanocrystal,,,,,glioma,glioma,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intracerebral, intradermal",intravenous,18.375,3.0,0.9708571428571428,1.3571428571428572,22.0,,46080462.0,,,,no,no,yes,yes,no,no,2
Coordination Self-Assembled AuTPyP-Cu Metal−Organic Framework Nanosheets with pH-Ultrasound Dual-Responsiveness for Synergistically Triggering Cuproptosis Augmented Chemotherapy.pdf,nanocrystal,CuO,CuO,nanocrystal,,,,,cervical_cancer,cervical_cancer,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,10.0,2.0,1.0,1.2,17.916666666666668,,,,,,no,no,yes,no,no,no,1
Integration of Silica Nanorattles with Manganese-Doped In2S3 InOOH to Enable Ultrasound-Mediated Tumor Theranostics.pdf,"nanoparticle, nanocrystal",SiO2,SiO2,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,11.25,5.0,1.0555555555555556,1.1428571428571428,14.904761904761905,,,,,,no,no,yes,no,no,no,1
Nanotransferrin-Based Programmable Catalysis Mediates Three-Pronged Induction of Oxidative Stress to Enhance Cancer Immunotherapy.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,,,,,,,no,no,no,no,no,no,0
Albumin Modulated Homodimer as an EﬃcientPhotosensitizer for Long-Term Imaging-Guided TumorTherapy Directed with Sunlight Irradiation.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,liver_cancer,liver_cancer,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,313.0,,20.625,,,,,,no,no,yes,no,no,no,1
A versatile nanoplatform carrying cascade Pt nanozymes remodeling tumor microenvironment for amplified sonodynamic chemo therapy of thyroid cancer.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,thyroid_cancer,thyroid_cancer,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,8.4,3.0,1.0,1.2142857142857142,11.96774193548387,,,,,,no,no,yes,no,no,no,1
A Robust ROS Generation and Ferroptotic Lipid ModulationNanosystem for Mutual Reinforcement of Ferroptosis andCancer Immunotherapy.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,,,,,,,no,no,no,no,no,no,0
Harnessing the Cancer Radiation Therapy by Lanthanide-Doped Zinc Oxide Based Theranostic Nanoparticles.pdf,"nanoparticle, nanocrystal",ZnO,ZnO,nanoparticle,,,,,cervical_cancer,cervical_cancer,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,17.5,,,,,,no,no,yes,no,no,no,1
